Year,Position,AlbumTitle,AlbumArtist,RoviAlbumID
2015,1,1989,Taylor Swift,MW0002726289
2015,2,X,Ed Sheeran,MW0002655755
2015,3,IN THE LONELY HOUR,Sam Smith,MW0002605902
2015,4,IF YOU'RE READING THIS IT'S TOO LATE,Drake,MW0002825574
2015,5,TITLE,Meghan Trainor,MW0002769775
2015,6,V,Maroon 5,MW0002704238
2015,7,THE PINKPRINT,Nicki Minaj,MW0002780345
2015,8,2014 FOREST HILLS DRIVE,J. Cole,MW0002786766
2015,9,FIFTY SHADES OF GREY,Soundtrack,
2015,10,FOUR,One Direction,MW0002744259
2015,11,MONTEVALLO,Sam Hunt,MW0002763213
2015,12,HOZIER,Hozier,MW0002697965
2015,13,BEAUTY BEHIND THE MADNESS,The Weeknd,MW0002860864
2015,14,THAT'S CHRISTMAS TO ME,Pentatonix,MW0002745911
2015,15,AMERICAN BEAUTY / AMERICAN PSYCHO,Fall Out Boy,
2015,16,TO PIMP A BUTTERFLY,Kendrick Lamar,MW0002835159
2015,17,MY EVERYTHING,Ariana Grande,MW0002698499
2015,18,KILL THE LIGHTS,Luke Bryan,"MW0002853411
MW0002868272"
2015,19,FURIOUS 7,Soundtrack,
2015,20,DREAMS WORTH MORE THAN MONEY,Meek Mill,MW0002673178
2015,21,GUARDIANS OF THE GALAXY: AWESOME MIX VOL. 1,Soundtrack,
2015,22,DARK SKY PARADISE,Big Sean,MW0002819524
2015,23,ANYTHING GOES,Florida Georgia Line,"MW0002724319
MW0002757923"
2015,24,JEKYLL + HYDE,Zac Brown Band,MW0002835635
2015,25,"""OLD BOOTS, NEW DIRT""",Jason Aldean,
2015,26,WHAT A TIME TO BE ALIVE,Drake & Future,
2015,27,UPTOWN SPECIAL.,Mark Ronson,
2015,28,GREATEST HITS: DECADE #1,Carrie Underwood,MW0002768187
2015,29,SMOKE + MIRRORS,Imagine Dragons,MW0002803699
2015,30,FROZEN,Soundtrack,
2015,31,BLURRYFACE,twenty one pilots,MW0002837924
2015,32,TALKING IS HARD,WALK THE MOON,MW0002773094
2015,33,WILDER MIND,Mumford & Sons,"MW0002834704
MW0002903482"
