Year,Position,Album,Artist,RoviAlbumID
2014,1,FROZEN,Soundtrack,
2014,2,BEYONCE,Beyonce,
2014,3,1989,Taylor Swift,
2014,4,MIDNIGHT MEMORIES,One Direction,
2014,5,THE MARSHALL MATHERS LP 2,Eminem,
2014,6,PURE HEROINE,Lorde,
2014,7,CRASH MY PARTY,Luke Bryan,
2014,8,PRISM,Katy Perry,
2014,9,BLAME IT ALL ON MY ROOTS: FIVE DECADES OF INFLUENCES,Garth Brooks,
2014,10,HERE'S TO THE GOOD TIMES,Florida Georgia Line,
2014,11,IN THE LONELY HOUR,Sam Smith,
2014,12,NIGHT VISIONS,Imagine Dragons,
2014,13,THE OUTSIDERS,Eric Church,
2014,14,GHOST STORIES,Coldplay,
2014,15,NOW 50,Various Artists,
2014,16,JUST AS I AM,Brantley Gilbert,
2014,17,WRAPPED IN RED,Kelly Clarkson,
2014,18,DUCK THE HALLS: A ROBERTSON FAMILY CHRISTMAS,The Robertsons,
2014,19,GUARDIANS OF THE GALAXY: AWESOME MIX VOL. 1,Soundtrack,
2014,20,PARTNERS,Barbra Streisand,
2014,21,X,Ed Sheeran,
2014,22,NATIVE,OneRepublic,
2014,23,BANGERZ,Miley Cyrus,
2014,24,NOW 48,Various Artists,
2014,25,NOTHING WAS THE SAME,Drake,
2014,26,G I R L,Pharrell Williams,
2014,27,5 SECONDS OF SUMMER,5 Seconds Of Summer,
2014,28,OLD BOOTS, NEW DIRT,Jason Aldean,
2014,29,UNORTHODOX JUKEBOX,Bruno Mars,
2014,30,PLATINUM,Miranda Lambert,
2014,31,NOW 49,Various Artists,
2014,32,THE 20/20 EXPERIENCE (2 OF 2),Justin Timberlake,
2014,33,LOVE IN THE FUTURE,John Legend,
2014,34,ARTPOP,Lady Gaga,
2014,35,V,Maroon 5,
2014,36,XSCAPE,Michael Jackson,
2014,37,AM,Arctic Monkeys,
2014,38,TURN BLUE,The Black Keys,
2014,39,BASED ON A TRUE STORY ...,Blake Shelton,
2014,40,BAD BLOOD,Bastille,
2014,41,BLACK PANTIES,R. Kelly,
2014,42,THE NEW CLASSIC,Iggy Azalea,
2014,43,ULTRAVIOLENCE,Lana Del Rey,
2014,44,MASTERMIND,Rick Ross,
2014,45,BECAUSE THE INTERNET,Childish Gambino,
2014,46,MY EVERYTHING,Ariana Grande,
2014,47,ANYTHING GOES,Florida Georgia Line,
2014,48,NOW 51,Various Artists,
2014,49,OXYMORON,ScHoolboy Q,
2014,50,CHEEK TO CHEEK,Tony Bennett & Lady Gaga,
2014,51,CHRISTMAS,Michael Buble,
2014,52,KIDZ BOP 25,Kidz Bop Kids,
2014,53,SHE LOOKS SO PERFECT (EP),5 Seconds Of Summer,
2014,54,2014 GRAMMY NOMINEES,Various Artists,
2014,55,LAZARETTO,Jack White,
2014,56,BORN TO DIE,Lana Del Rey,
2014,57,THE WRONG SIDE OF HEAVEN...VOLUME 2,Five Finger Death Punch,
2014,58,TRIGGA,Trey Songz,
2014,59,A MARY CHRISTMAS,Mary J. Blige,
2014,60,MORNING PHASE,Beck,
2014,61,THE HEIST,Macklemore & Ryan Lewis,
2014,62,X,Chris Brown,
2014,63,COLE SWINDELL,Cole Swindell,
2014,64,THRIVE,Casting Crowns,
2014,65,RISER,Dierks Bentley,
2014,66,SAIL OUT (EP),Jhene Aiko,
2014,67,THE HUNTING PARTY,Linkin Park,
2014,68,YOURS TRULY,Ariana Grande,
2014,69,GOOD KID, M.A.A.D CITY,Kendrick Lamar,
2014,70,HYPNOTIC EYE,Tom Petty And The Heartbreakers,
2014,71,SEEN IT ALL: THE AUTOBIOGRAPHY,Jeezy,
2014,72,THE BIG REVIVAL,Kenny Chesney,
2014,73,WOW HITS 2014,Various Artists,
2014,74,BRITNEY JEAN,Britney Spears,
2014,75,SHAKIRA.,Shakira,
2014,76,21,Adele,
2014,77,LEGEND: THE BEST OF...,Bob Marley And The Wailers,
2014,78,NIGHT TRAIN,Jason Aldean,
2014,79,TESTIMONY,August Alsina,
2014,80,THE LEGEND OF JOHNNY CASH,Johnny Cash,
2014,81,SAVE ROCK AND ROLL,Fall Out Boy,
2014,82,THE FAULT IN OUR STARS,Soundtrack,
2014,83,ALL THE LITTLE LIGHTS,Passenger,
2014,84,FORMULA: VOL. 2,Romeo Santos,
2014,85,SAME TRAILER DIFFERENT PARK,Kacey Musgraves,
2014,86,BAPTIZED,Daughtry,
2014,87,DOO-WOPS & HOOLIGANS,Bruno Mars,
2014,88,HAIL TO THE KING,Avenged Sevenfold,
2014,89,MANDATORY FUN,"""Weird Al"" Yankovic",
2014,90,LOVE, MARRIAGE & DIVORCE,Toni Braxton & Babyface,
2014,91,BRINGING BACK THE SUNSHINE,Blake Shelton,
2014,92,TALK DIRTY,Jason Derulo,
2014,93,BLACC HOLLYWOOD,Wiz Khalifa,
2014,94,MY KRAZY LIFE,YG,
2014,95,NOW 52,Various Artists,
2014,96,.5: THE GRAY CHAPTER,Slipknot,
2014,97,THE TRUTH ABOUT LOVE,P!nk,
2014,98,ANOMALY,Lecrae,
2014,99,SONIC HIGHWAYS,Foo Fighters,
2014,100,HOME FOR CHRISTMAS,Susan Boyle,
2014,101,HIGH HOPES,Bruce Springsteen,
2014,102,PITCH PERFECT,Soundtrack,
2014,103,JOURNEY'S GREATEST HITS,Journey,
2014,104,KIDZ BOP 26,Kidz Bop Kids,
2014,105,DAYS OF GOLD,Jake Owen,
2014,106,RED,Taylor Swift,
2014,107,REWIND,Rascal Flatts,
2014,108,FUSE,Keith Urban,
2014,109,SHATTER ME,Lindsey Stirling,
2014,110,THE HUNGER GAMES: CATCHING FIRE,Soundtrack,
2014,111,LINDSEY STIRLING,Lindsey Stirling,
2014,112,TAILGATES & TANLINES,Luke Bryan,
2014,113,TRUE,Avicii,
2014,114,NOW THAT'S WHAT I CALL COUNTRY: VOLUME 7,Various Artists,
2014,115,THE ENDLESS RIVER,Pink Floyd,
2014,116,I AM,Yo Gotti,
2014,117,THE BREEZE - AN APPRECIATION OF JJ CALE,Eric Clapton & Friends,
2014,118,RANDOM ACCESS MEMORIES,Daft Punk,
2014,119,PTXMAS (EP),Pentatonix,
2014,120,THE EMINEM SHOW,Eminem,
2014,121,THE COWBOY RIDES AWAY: LIVE FROM AT&T STADIUM,George Strait,
2014,122,+,Ed Sheeran,
