YEAR;POSITION;ALBUM;ARTIST
2015;1;1989;Taylor Swift
2015;2;X;Ed Sheeran
2015;3;IN THE LONELY HOUR;Sam Smith
2015;4;IF YOU'RE READING THIS IT'S TOO LATE;Drake
2015;5;TITLE;Meghan Trainor
2015;6;V;Maroon 5
2015;7;THE PINKPRINT;Nicki Minaj
2015;8;2014 FOREST HILLS DRIVE;J. Cole
2015;9;FIFTY SHADES OF GREY;Soundtrack
2015;10;FOUR;One Direction
2015;11;MONTEVALLO;Sam Hunt
2015;12;HOZIER;Hozier
2015;13;BEAUTY BEHIND THE MADNESS;The Weeknd
2015;14;THAT'S CHRISTMAS TO ME;Pentatonix
2015;15;AMERICAN BEAUTY / AMERICAN PSYCHO;Fall Out Boy
2015;16;TO PIMP A BUTTERFLY;Kendrick Lamar
2015;17;MY EVERYTHING;Ariana Grande
2015;18;KILL THE LIGHTS;Luke Bryan
2015;19;FURIOUS 7;Soundtrack
2015;20;DREAMS WORTH MORE THAN MONEY;Meek Mill
2015;21;GUARDIANS OF THE GALAXY: AWESOME MIX VOL. 1;Soundtrack
2015;22;DARK SKY PARADISE;Big Sean
2015;23;ANYTHING GOES;Florida Georgia Line
2015;24;JEKYLL + HYDE;Zac Brown Band
2015;25;"""OLD BOOTS, NEW DIRT""";Jason Aldean
2015;26;WHAT A TIME TO BE ALIVE;Drake & Future
2015;27;UPTOWN SPECIAL.;Mark Ronson
2015;28;GREATEST HITS: DECADE #1;Carrie Underwood
2015;29;SMOKE + MIRRORS;Imagine Dragons
2015;30;FROZEN;Soundtrack
2015;31;BLURRYFACE;twenty one pilots
2015;32;TALKING IS HARD;WALK THE MOON
2015;33;WILDER MIND;Mumford & Sons
2015;34;HANDWRITTEN;Shawn Mendes
2015;35;THE OUTSIDERS;Eric Church
2015;36;CRASH MY PARTY;Luke Bryan
2015;37;EMPIRE: ORIGINAL SOUNDTRACK FROM SEASON 1;Soundtrack
2015;38;PAIN KILLER;Little Big Town
2015;39;SREMMLIFE;Rae Sremmurd
2015;40;1000 FORMS OF FEAR;Sia
2015;41;NICK JONAS;Nick Jonas
2015;42;DS2;Future
2015;43;GLOBALIZATION;Pitbull
2015;44;STAGES;Josh Groban
2015;45;COMPTON;Dr. Dre
2015;46;ROCK OR BUST;AC/DC
2015;47;NIGHT VISIONS;Imagine Dragons
2015;48;REFLECTION;Fifth Harmony
2015;49;QUEEN OF THE CLOUDS;Tove Lo
2015;50;MAN AGAINST MACHINE;Garth Brooks
2015;51;NOW 53;Various Artists
2015;52;PITCH PERFECT 2;Soundtrack
2015;53;LISTEN;David Guetta
2015;54;BRINGING BACK THE SUNSHINE;Blake Shelton
2015;55;JUST AS I AM;Brantley Gilbert
2015;56;AT.LONG.LAST.A$AP;A$AP Rocky
2015;57;BEYONCE;Beyonce
2015;58;NATIVE;OneRepublic
2015;59;+;Ed Sheeran
2015;60;FETTY WAP;Fetty Wap
2015;61;HERE'S TO THE GOOD TIMES;Florida Georgia Line
2015;62;BORN TO DIE;Lana Del Rey
2015;63;GREATEST HITS SO FAR...;Zac Brown Band
2015;64;SKRILLEX AND DIPLO PRESENT JACK U;Skrillex & Diplo
2015;65;MAGAZINES OR NOVELS;Andy Grammer
2015;66;DREAM YOUR LIFE AWAY;Vance Joy
2015;67;NOW 52;Various Artists
2015;68;TRAVELLER;Chris Stapleton
2015;69;NOTHING WAS THE SAME;Drake
2015;70;LEGEND: THE BEST OF...;Bob Marley And The Wailers
2015;71;GREATEST HITS;Fleetwood Mac
2015;72;"""GOOD KID, M.A.A.D CITY""";Kendrick Lamar
2015;73;5 SECONDS OF SUMMER;5 Seconds Of Summer
2015;74;21;Adele
2015;75;MOTION;Calvin Harris
2015;76;PLATINUM;Miranda Lambert
2015;77;CHRISTMAS;Michael Buble
2015;78;JOURNEY'S GREATEST HITS;Journey
2015;79;AM;Arctic Monkeys
2015;80;FIRST KISS;Kid Rock
2015;81;DARK BEFORE DAWN;Breaking Benjamin
2015;82;COLE SWINDELL;Cole Swindell
2015;83;PRISM;Katy Perry
2015;84;THE BIG REVIVAL;Kenny Chesney
2015;85;X;Chris Brown
2015;86;HOW BIG HOW BLUE HOW BEAUTIFUL;Florence + The Machine
2015;87;PEACE IS THE MISSION;Major Lazer
2015;88;SPRING BREAK... CHECKIN' OUT;Luke Bryan
2015;89;THESE THINGS HAPPEN;G-Eazy
2015;90;TRIGGA;Trey Songz
2015;91;SAVE ROCK AND ROLL;Fall Out Boy
2015;92;SOUND & COLOR;Alabama Shakes
2015;93;NO FIXED ADDRESS;Nickelback
2015;94;DOO-WOPS & HOOLIGANS;Bruno Mars
2015;95;IGNITE THE NIGHT;Chase Rice
2015;96;THE MARSHALL MATHERS LP 2;Eminem
2015;97;TRILOGY;The Weeknd
2015;98;BADLANDS;Halsey
2015;99;THE EMINEM SHOW;Eminem
2015;100;HOLIDAY WISHES;Idina Menzel
2015;101;PARTNERS;Barbra Streisand
2015;102;TAKE CARE;Drake
2015;103;WANTED ON VOYAGE;George Ezra
2015;104;SHADYXV;Various Artists
2015;105;PIECE BY PIECE;Kelly Clarkson
2015;106;BLACC HOLLYWOOD;Wiz Khalifa
2015;107;CURTAIN CALL: THE HITS;Eminem
2015;108;STORYTELLER;Carrie Underwood
2015;109;MY HOUSE (EP);Flo Rida
2015;110;KIDZ BOP 27;Kidz Bop Kids
2015;111;RED;Taylor Swift
2015;112;FIGHT SONG (EP);Rachel Platten
2015;113;NOW 55;Various Artists
2015;114;BACK IN BLACK;AC/DC
2015;115;BEFORE THIS WORLD;James Taylor
2015;116;NOW 54;Various Artists
2015;117;RECLASSIFIED;Iggy Azalea
2015;118;BLACK MESSIAH;D'Angelo And The Vanguard
2015;119;VESSEL;twenty one pilots
2015;120;2015 GRAMMY NOMINEES;Various Artists
2015;121;LOVE STUFF;Elle King
2015;122;"""THE HUNGER GAMES: MOCKINGJAY, PART I""";Soundtrack
2015;123;BECAUSE THE INTERNET;Childish Gambino
2015;124;TALKING DREAMS;Echosmith
2015;125;CHEEK TO CHEEK;Tony Bennett & Lady Gaga
2015;126;SONIC HIGHWAYS (SOUNDTRACK);Foo Fighters
2015;127;THE ALBUM ABOUT NOTHING;Wale
2015;128;SUNDOWN HEAVEN TOWN;Tim McGraw
2015;129;UNORTHODOX JUKEBOX;Bruno Mars
2015;130;PURE HEROINE;Lorde
2015;131;BLACK ROSE;Tyrese
2015;132;UNBREAKABLE SMILE;Tori Kelly
2015;133;GOT YOUR SIX;Five Finger Death Punch
2015;134;INTO THE WOODS;Soundtrack
2015;135;EVERYTHING IS 4;Jason Derulo
2015;136;SOUNDS GOOD FEELS GOOD;5 Seconds Of Summer
2015;137;REVIVAL;Selena Gomez
2015;138;FROZEN: THE SONGS;Soundtrack
2015;139;VHS;X Ambassadors
2015;140;NON-FICTION;Ne-Yo
2015;141;TANGLED UP;Thomas Rhett
2015;142;FOR YOU;Selena Gomez
2015;143;BASED ON A TRUE STORY ...;Blake Shelton
2015;144;FAN OF A FAN: THE ALBUM;Chris Brown & Tyga
2015;145;SWEET TALKER;Jessie J
2015;146;GREATEST HITS;Foo Fighters
2015;147;ANYBODY WANNA BUY A HEART?;K. Michelle
2015;148;GREATEST HITS;2Pac
2015;149;TALK DIRTY;Jason Derulo
2015;150;ANNIE;Soundtrack
2015;151;REBEL HEART;Madonna
2015;152;THE ENDLESS RIVER;Pink Floyd
2015;153;DESCENDANTS;Soundtrack
2015;154;RODEO;Travi$ Scott
2015;155;GREATEST HITS;Guns N' Roses
2015;156;THE WRONG SIDE OF HEAVEN...VOLUME 1;Five Finger Death Punch
2015;157;I DONT DANCE;Lee Brice
2015;158;IMMORTALIZED;Disturbed
2015;159;UNBREAKABLE;Janet
2015;160;RISER;Dierks Bentley
2015;161;LOVE IN THE FUTURE;John Legend
2015;162;TAILGATES & TANLINES;Luke Bryan
2015;163;CHRONICLE THE 20 GREATEST HITS;Creedence Clearwater Revival
2015;164;THE LONDON SESSIONS;Mary J. Blige
2015;165;HONEYMOON;Lana Del Rey
2015;166;TEENAGE DREAM;Katy Perry
2015;167;CHAOS AND THE CALM;James Bay
2015;168;THRIVE;Casting Crowns
2015;169;TITLE (EP);Meghan Trainor
2015;170;KIDZ BOP 28;Kidz Bop Kids
2015;171;GREATEST HITS: WE WILL ROCK YOU;Queen
2015;172;DRONES;Muse
2015;173;WILDHEART;Miguel
2015;174;THE ESSENTIAL MICHAEL JACKSON;Michael Jackson
2015;175;RECOVERY;Eminem
2015;176;LIVESOS;5 Seconds Of Summer
2015;177;MIDNIGHT MEMORIES;One Direction
2015;178;COLD BEER CONVERSATION;George Strait
2015;179;CASS COUNTY;Don Henley
2015;180;SADNECESSARY;Milky Chance
2015;181;PAGEANT MATERIAL;Kacey Musgraves
2015;182;MASTER OF PUPPETS;Metallica
2015;183;THE DARK SIDE OF THE MOON;Pink Floyd
2015;184;ULTRAVIOLENCE;Lana Del Rey
2015;185;THE COWBOY RIDES AWAY: LIVE FROM AT&T STADIUM;George Strait
2015;186;STRAIGHT OUTTA COMPTON;N.W.A
2015;187;IT'S THE GIRLS!;Bette Midler
2015;188;FULL SPEED;Kid Ink
2015;189;SOUTHERN STYLE;Darius Rucker
2015;190;PENTATONIX;Pentatonix
2015;191;747;Lady Antebellum
2015;192;SPECIAL EFFECTS;Tech N9ne
2015;193;LOVE SOMEBODY;Reba
2015;194;PTXMAS (EP);Pentatonix
2015;195;THE DOCUMENTARY 2;The Game
2015;196;LUCA BRASI 2: A GANGSTA GRILLZ SPECIAL EDITION;Kevin Gates
2015;197;HOOD BILLIONAIRE;Rick Ross
2015;198;HOW CAN IT BE;Lauren Daigle
2015;199;TRUE COLORS;Zedd
2015;200;GO:OD AM;Mac Miller
